event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,country_name,admin_division_name
1055,07/22/2009 12:00:00 AM,landslide,downpour,medium,unknown,26.8826,88.2788,0.0,India,Bengal
1054,07/22/2009 12:00:00 AM,landslide,downpour,medium,unknown,26.8572,88.3143,0.0,India,Bengal
1061,07/01/2009 05:40:00 AM,landslide,downpour,medium,unknown,27.478,88.527,0.0,India,
2164,07/29/2010 11:00:00 PM,landslide,downpour,medium,unknown,25.3098633,94.48214677,0.0,India,Manipur
3821,07/21/2011 12:00:00 AM,landslide,rain,medium,unknown,29.7334,79.6367,1.0,India,Uttarakhand
37,03/19/2007 12:00:00 AM,landslide,rain,medium,unknown,33.8778,74.3333,2.0,India,Kashmir
3669,06/29/2011 12:00:00 AM,landslide,downpour,medium,unknown,30.7666,78.7963,0.0,India,Uttarakhand
3750,07/09/2011 12:00:00 AM,landslide,downpour,medium,unknown,30.7652,78.5925,0.0,India,Uttarakhand
3751,07/09/2011 12:00:00 AM,landslide,downpour,medium,unknown,30.7331,79.0685,0.0,India,Uttarakhand
3752,07/09/2011 12:00:00 AM,landslide,downpour,medium,unknown,31.0188,78.4129,0.0,India,Uttarakhand
3819,07/21/2011 12:00:00 AM,landslide,rain,medium,unknown,30.4043,79.3318,1.0,India,Uttarakhand
4565,09/18/2012 12:00:00 AM,landslide,downpour,medium,unknown,31.0226,77.1029,,India,Himachal Pradesh
4569,09/19/2012 12:00:00 AM,landslide,downpour,large,unknown,27.8385,88.556,20.0,India,
4571,09/19/2012 12:00:00 AM,landslide,downpour,large,unknown,27.6558,88.605,,India,
4929,06/16/2013 12:00:00 AM,landslide,rain,medium,unknown,30.4954,78.3881,0.0,India,Uttarakhand
4930,06/16/2013 12:00:00 AM,landslide,rain,medium,unknown,30.885,78.6695,0.0,India,Uttarakhand
4931,06/16/2013 12:00:00 AM,landslide,rain,medium,unknown,29.7986,80.417,0.0,India,Uttarakhand
4982,06/25/2013 08:00:00 AM,landslide,downpour,medium,unknown,10.9628,77.5947,0.0,India,Tamil Nādu
4983,06/25/2013 08:00:00 AM,landslide,downpour,medium,unknown,10.9628,77.5947,0.0,India,Tamil Nādu
5122,07/17/2013 12:00:00 AM,mudslide,rain,medium,unknown,25.7658,93.9413,0.0,India,Nāgāland
5123,07/17/2013 12:00:00 AM,mudslide,rain,medium,unknown,25.7131,94.0885,0.0,India,Nāgāland
7176,04/02/2015 12:00:00 AM,landslide,continuous_rain,medium,natural_slope,34.1587,74.4725,0.0,India,Kashmir
143,07/28/2007 12:00:00 AM,landslide,rain,medium,unknown,15.4014,73.8277,,India,Goa
3659,06/27/2011 12:00:00 AM,landslide,rain,medium,unknown,12.6771,75.2565,0.0,India,Karnataka
1097,08/17/2009 06:00:00 PM,landslide,continuous_rain,medium,unknown,29.4085,80.1327,0.0,India,Uttarakhand
