event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,state,elevation_m,rainfall_mm,soil_moisture,slope_percent
2164,2010-07-29 23:00:00,landslide,downpour,medium,unknown,25.3098633,94.48214677,0.0,Manipur,1559.0,19.9,,0.8108108108108109
5122,2013-07-17 00:00:00,mudslide,rain,medium,unknown,25.7658,93.9413,0.0,Nagaland,796.0,2.0,,22.61261261261261
5123,2013-07-17 00:00:00,mudslide,rain,medium,unknown,25.7131,94.0885,0.0,Nagaland,1402.0,2.0,,7.342342342342342
7370,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,24.1419,94.1078,0.0,Manipur,1187.0,6.9,,2.3873873873873874
5084,2013-07-12 23:00:00,landslide,downpour,medium,unknown,25.616,94.1167,0.0,Nagaland,1603.0,21.5,,27.11711711711712
2566,2010-10-08 00:00:00,mudslide,downpour,medium,unknown,25.4769,94.1351,0.0,Nagaland,1684.0,25.2,,18.873873873873872
1109,2009-08-20 00:00:00,landslide,downpour,medium,unknown,25.5215,93.1645,0.0,Assam,279.0,2.4,,2.612612612612613
1961,2010-06-09 14:15:00,landslide,downpour,medium,unknown,25.8833,91.2,0.0,Meghalaya,247.0,21.6,,8.963963963963964
2578,2010-10-09 00:00:00,landslide,downpour,medium,unknown,25.3179,94.0462,0.0,Nagaland,996.0,13.1,,3.333333333333333
322,2007-10-21 00:00:00,landslide,rain,medium,unknown,24.75,93.4333,,Assam,546.0,0.1,,14.45945945945946
5552,2013-09-24 00:00:00,landslide,unknown,medium,unknown,25.0985,94.3619,,Manipur,1889.0,4.6,,1.351351351351351
7031,2015-05-24 00:00:00,landslide,unknown,medium,above_road,27.6163,88.6586,0.0,Sikkim,1875.0,10.3,,17.792792792792792
2025,2010-06-28 00:00:00,landslide,downpour,medium,unknown,25.5728,91.885,1.0,Meghalaya,1496.0,68.7,,3.558558558558558
9405,2016-04-19 00:00:00,landslide,continuous_rain,medium,unknown,26.7223,95.0243,0.0,Nagaland,692.0,36.3,,0.6756756756756757
5343,2013-08-17 23:00:00,landslide,continuous_rain,medium,unknown,24.7625,93.4341,,Assam,681.0,18.4,,12.837837837837837
6971,2015-06-09 00:00:00,landslide,continuous_rain,medium,above_road,27.0987,93.816,2.0,Arunachal Pradesh,211.0,75.0,,6.126126126126126
1611,2010-04-01 00:00:00,landslide,downpour,medium,unknown,25.1553,93.028,3.0,Assam,565.0,8.2,,1.036036036036036
147,2007-07-30 00:00:00,landslide,downpour,medium,unknown,22.533,92.899,,Mizoram,793.0,0.8,,18.28828828828829
4382,2012-06-03 00:00:00,landslide,downpour,medium,unknown,25.1175,92.8573,,Assam,158.0,136.3,,14.234234234234233
1112,2009-08-20 00:00:00,mudslide,downpour,medium,unknown,27.1761,88.5287,0.0,Sikkim,314.0,50.9,,0.4954954954954955
2424,2010-09-13 00:00:00,landslide,downpour,medium,unknown,23.591,92.9296,0.0,Mizoram,801.0,14.8,,2.1621621621621623
78,2007-05-23 00:00:00,landslide,rain,medium,unknown,27.3383,88.6069,,Sikkim,1517.0,12.4,,31.62162162162162
5431,2013-09-01 00:00:00,mudslide,continuous_rain,medium,unknown,24.9829,93.5063,0.0,Assam,1284.0,5.5,,14.819819819819822
3672,2011-06-29 00:00:00,landslide,downpour,medium,unknown,25.5125,93.3613,0.0,Assam,320.0,3.9,,2.702702702702702
2253,2010-08-15 23:00:00,landslide,downpour,medium,unknown,25.31006064,94.48265093,0.0,Manipur,1571.0,15.6,,4.0990990990990985
1108,2009-08-20 00:00:00,landslide,downpour,medium,unknown,24.9925,93.5,0.0,Assam,1206.0,10.2,,12.432432432432432
6105,2014-06-26 23:00:00,landslide,continuous_rain,medium,above_road,28.9205,95.3429,0.0,Arunachal Pradesh,4060.0,9.5,,12.747747747747749
9168,2016-06-12 23:00:00,landslide,downpour,medium,above_road,27.6438,93.871,0.0,Arunachal Pradesh,1682.0,13.0,,12.972972972972974
3560,2011-05-31 14:30:00,landslide,downpour,medium,unknown,24.8286,93.5935,2.0,Manipur,777.0,20.0,,12.927927927927929
587,2008-06-15 00:00:00,landslide,downpour,medium,unknown,27.2298,94.0989,17.0,Assam,95.0,1.8,,0.1351351351351351
8012,2015-09-06 15:00:00,landslide,unknown,medium,above_road,25.9703,91.8584,0.0,Meghalaya,299.0,8.0,,0.6306306306306306
7335,2015-08-18 09:00:00,landslide,continuous_rain,medium,urban,25.5145,90.2023,0.0,Meghalaya,279.0,51.0,,5.900900900900901
141,2007-07-26 00:00:00,landslide,rain,medium,unknown,25.38,91.88,,Meghalaya,1283.0,81.4,,12.837837837837837
3983,2011-09-23 00:00:00,landslide,downpour,large,unknown,26.1548,91.7351,4.0,Assam,55.0,10.3,,2.2972972972972974
148,2007-07-30 00:00:00,landslide,downpour,medium,unknown,22.479,92.967,,Mizoram,472.0,0.8,,22.61261261261261
1775,2010-04-21 00:00:00,landslide,downpour,medium,unknown,27.8965,96.1779,12.0,Arunachal Pradesh,202.0,60.7,,0.09009009009009
3663,2011-06-28 00:00:00,landslide,downpour,medium,unknown,25.6682,94.1099,0.0,Nagaland,1439.0,26.6,,0.045045045045045
7385,2015-08-01 00:00:00,landslide,continuous_rain,medium,unknown,24.004,93.9815,0.0,Manipur,1496.0,11.3,,9.144144144144144
2575,2010-10-09 00:00:00,landslide,downpour,medium,unknown,25.5242,92.9914,0.0,Assam,147.0,13.6,,0.09009009009009
3840,2011-07-25 00:00:00,landslide,downpour,medium,unknown,24.6869,93.9157,0.0,Manipur,772.0,4.2,,0.0
6015,2014-05-08 00:00:00,mudslide,rain,medium,above_road,27.9032,96.174,0.0,Arunachal Pradesh,197.0,58.1,,0.0
3741,2011-07-07 00:00:00,landslide,rain,medium,unknown,25.4191,94.1079,0.0,Nagaland,1395.0,6.8,,3.9189189189189193
2106,2010-07-20 00:00:00,landslide,downpour,medium,unknown,26.8716,94.9921,0.0,Nagaland,288.0,79.5,,8.018018018018019
9051,2016-07-19 09:00:00,landslide,unknown,medium,natural_slope,26.09748244,91.8744337,0.0,Meghalaya,188.0,53.5,,4.324324324324325
870,2008-10-29 00:00:00,mudslide,downpour,medium,unknown,27.4,92.35,12.0,Arunachal Pradesh,2628.0,0.2,,7.432432432432432
2392,2010-09-04 00:00:00,landslide,downpour,medium,unknown,27.3702,88.7334,0.0,Sikkim,3520.0,20.4,,23.33333333333333
3830,2011-07-22 00:00:00,landslide,downpour,small,unknown,24.3527,94.3429,0.0,Manipur,285.0,25.1,,2.117117117117117
4906,2013-06-07 00:00:00,landslide,unknown,medium,unknown,26.0977,94.7499,,Nagaland,1538.0,12.0,,22.52252252252252
3269,2011-03-22 00:00:00,landslide,downpour,medium,unknown,28.0791,96.5242,0.0,Arunachal Pradesh,554.0,13.0,,16.396396396396394
1755,2010-04-17 15:00:00,landslide,downpour,small,unknown,27.3341,88.6083,0.0,Sikkim,1418.0,5.4,,32.11711711711712
6990,2015-06-24 00:00:00,landslide,continuous_rain,medium,above_road,26.0319,94.5466,0.0,Nagaland,1581.0,12.4,,10.9009009009009
6222,2014-10-01 11:00:00,landslide,unknown,small,above_road,27.1249,93.7706,5.0,Arunachal Pradesh,151.0,0.0,,5.45045045045045
9169,2016-06-12 00:00:00,landslide,continuous_rain,unknown,above_road,26.1677,94.2442,0.0,Nagaland,754.0,15.0,,4.324324324324325
4435,2012-06-25 00:00:00,landslide,downpour,large,unknown,27.174,95.8011,,Arunachal Pradesh,295.0,49.2,,5.900900900900901
4313,2012-04-08 00:00:00,landslide,downpour,medium,unknown,28.4659,95.86,0.0,Arunachal Pradesh,1026.0,7.7,,20.585585585585587
2344,2010-08-27 16:30:00,landslide,downpour,medium,unknown,24.7505,93.4221,0.0,Assam,772.0,9.5,,2.3873873873873874
7263,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,25.4477,94.0489,0.0,Manipur,1287.0,20.6,,12.117117117117116
5271,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,26.284,94.5808,,Nagaland,728.0,15.0,,2.3423423423423424
4424,2012-06-20 00:00:00,landslide,downpour,medium,unknown,26.149,91.7351,,Assam,52.0,61.6,,2.3873873873873874
3525,2011-05-22 00:00:00,landslide,downpour,medium,unknown,25.0672,93.4093,0.0,Assam,460.0,33.7,,5.135135135135135
7369,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,24.1988,94.1016,0.0,Manipur,1345.0,6.9,,4.324324324324325
4892,2013-06-01 00:00:00,landslide,downpour,large,unknown,27.8776,94.25,,Arunachal Pradesh,993.0,8.3,,16.35135135135135
4377,2012-06-02 00:00:00,landslide,downpour,large,unknown,26.1475,91.7356,,Assam,52.0,21.7,,3.0180180180180183
5430,2013-09-01 00:00:00,mudslide,continuous_rain,medium,unknown,24.9037,93.487,0.0,Manipur,1272.0,5.5,,6.936936936936937
7264,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,25.4538,93.9827,0.0,Manipur,1779.0,20.6,,37.972972972972975
5006,2013-07-01 00:00:00,landslide,downpour,medium,unknown,26.1147,94.3864,0.0,Nagaland,362.0,10.3,,3.333333333333333
256,2007-09-10 00:00:00,landslide,rain,medium,unknown,27.3425,88.6236,,Sikkim,2102.0,29.2,,33.01801801801802
9335,2016-05-18 08:00:00,landslide,continuous_rain,unknown,unknown,24.5202,92.7239,2.0,Assam,39.0,24.1,,0.3603603603603603
7279,2015-07-24 00:00:00,mudslide,monsoon,medium,other,24.9818,93.5142,0.0,Manipur,1238.0,14.2,,11.126126126126126
6288,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1985,91.7998,0.0,Assam,92.0,58.2,,0.8108108108108109
