event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,state,elevation_m,slope_percent
2164,07/29/2010 11:00:00 PM,landslide,downpour,medium,unknown,25.3098633,94.48214677,0.0,Manipur,1559.0,0.8108108108108109
5122,07/17/2013 12:00:00 AM,mudslide,rain,medium,unknown,25.7658,93.9413,0.0,Nagaland,796.0,22.61261261261261
5123,07/17/2013 12:00:00 AM,mudslide,rain,medium,unknown,25.7131,94.0885,0.0,Nagaland,1402.0,7.342342342342342
7370,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,24.1419,94.1078,0.0,Manipur,1187.0,2.3873873873873874
5084,07/12/2013 11:00:00 PM,landslide,downpour,medium,unknown,25.616,94.1167,0.0,Nagaland,1603.0,27.117117117117118
2566,10/08/2010 12:00:00 AM,mudslide,downpour,medium,unknown,25.4769,94.1351,0.0,Nagaland,1684.0,18.873873873873872
1109,08/20/2009 12:00:00 AM,landslide,downpour,medium,unknown,25.5215,93.1645,0.0,Assam,279.0,2.6126126126126126
1961,06/09/2010 02:15:00 PM,landslide,downpour,medium,unknown,25.8833,91.2,0.0,Meghalaya,247.0,8.963963963963964
2578,10/09/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.3179,94.0462,0.0,Nagaland,996.0,3.3333333333333335
322,10/21/2007 12:00:00 AM,landslide,rain,medium,unknown,24.75,93.4333,,Assam,546.0,14.45945945945946
5552,09/24/2013 12:00:00 AM,landslide,unknown,medium,unknown,25.0985,94.3619,,Manipur,1889.0,1.3513513513513513
7031,05/24/2015 12:00:00 AM,landslide,unknown,medium,above_road,27.6163,88.6586,0.0,Sikkim,1875.0,17.792792792792792
2025,06/28/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.5728,91.885,1.0,Meghalaya,1496.0,3.558558558558558
9405,04/19/2016 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.7223,95.0243,0.0,Nagaland,692.0,0.6756756756756757
5343,08/17/2013 11:00:00 PM,landslide,continuous_rain,medium,unknown,24.7625,93.4341,,Assam,681.0,12.837837837837837
6971,06/09/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,27.0987,93.816,2.0,Arunachal Pradesh,211.0,6.126126126126126
1611,04/01/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.1553,93.028,3.0,Assam,565.0,1.0360360360360361
147,07/30/2007 12:00:00 AM,landslide,downpour,medium,unknown,22.533,92.899,,Mizoram,793.0,18.28828828828829
4382,06/03/2012 12:00:00 AM,landslide,downpour,medium,unknown,25.1175,92.8573,,Assam,158.0,14.234234234234233
1112,08/20/2009 12:00:00 AM,mudslide,downpour,medium,unknown,27.1761,88.5287,0.0,Sikkim,314.0,0.4954954954954955
2424,09/13/2010 12:00:00 AM,landslide,downpour,medium,unknown,23.591,92.9296,0.0,Mizoram,801.0,2.1621621621621623
78,05/23/2007 12:00:00 AM,landslide,rain,medium,unknown,27.3383,88.6069,,Sikkim,1517.0,31.62162162162162
5431,09/01/2013 12:00:00 AM,mudslide,continuous_rain,medium,unknown,24.9829,93.5063,0.0,Assam,1284.0,14.819819819819822
3672,06/29/2011 12:00:00 AM,landslide,downpour,medium,unknown,25.5125,93.3613,0.0,Assam,320.0,2.7027027027027026
2253,08/15/2010 11:00:00 PM,landslide,downpour,medium,unknown,25.31006064,94.48265093,0.0,Manipur,1571.0,4.0990990990990985
1108,08/20/2009 12:00:00 AM,landslide,downpour,medium,unknown,24.9925,93.5,0.0,Assam,1206.0,12.432432432432433
6105,06/26/2014 11:00:00 PM,landslide,continuous_rain,medium,above_road,28.9205,95.3429,0.0,Arunachal Pradesh,4060.0,12.747747747747749
9168,06/12/2016 11:00:00 PM,landslide,downpour,medium,above_road,27.6438,93.871,0.0,Arunachal Pradesh,1682.0,12.972972972972974
3560,05/31/2011 02:30:00 PM,landslide,downpour,medium,unknown,24.8286,93.5935,2.0,Manipur,777.0,12.927927927927929
587,06/15/2008 12:00:00 AM,landslide,downpour,medium,unknown,27.2298,94.0989,17.0,Assam,95.0,0.13513513513513514
8012,09/06/2015 03:00:00 PM,landslide,unknown,medium,above_road,25.9703,91.8584,0.0,Meghalaya,299.0,0.6306306306306306
7335,08/18/2015 09:00:00 AM,landslide,continuous_rain,medium,urban,25.5145,90.2023,0.0,Meghalaya,279.0,5.900900900900901
141,07/26/2007 12:00:00 AM,landslide,rain,medium,unknown,25.38,91.88,,Meghalaya,1283.0,12.837837837837837
3983,09/23/2011 12:00:00 AM,landslide,downpour,large,unknown,26.1548,91.7351,4.0,Assam,55.0,2.2972972972972974
148,07/30/2007 12:00:00 AM,landslide,downpour,medium,unknown,22.479,92.967,,Mizoram,472.0,22.61261261261261
1775,04/21/2010 12:00:00 AM,landslide,downpour,medium,unknown,27.8965,96.1779,12.0,Arunachal Pradesh,202.0,0.09009009009009009
3663,06/28/2011 12:00:00 AM,landslide,downpour,medium,unknown,25.6682,94.1099,0.0,Nagaland,1439.0,0.04504504504504504
7385,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,24.004,93.9815,0.0,Manipur,1496.0,9.144144144144144
2575,10/09/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.5242,92.9914,0.0,Assam,147.0,0.09009009009009009
3840,07/25/2011 12:00:00 AM,landslide,downpour,medium,unknown,24.6869,93.9157,0.0,Manipur,772.0,0.0
6015,05/08/2014 12:00:00 AM,mudslide,rain,medium,above_road,27.9032,96.174,0.0,Arunachal Pradesh,197.0,0.0
3741,07/07/2011 12:00:00 AM,landslide,rain,medium,unknown,25.4191,94.1079,0.0,Nagaland,1395.0,3.9189189189189193
2106,07/20/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.8716,94.9921,0.0,Nagaland,288.0,8.018018018018019
9051,07/19/2016 09:00:00 AM,landslide,unknown,medium,natural_slope,26.09748244,91.8744337,0.0,Meghalaya,188.0,4.324324324324325
870,10/29/2008 12:00:00 AM,mudslide,downpour,medium,unknown,27.4,92.35,12.0,Arunachal Pradesh,2628.0,7.4324324324324325
2392,09/04/2010 12:00:00 AM,landslide,downpour,medium,unknown,27.3702,88.7334,0.0,Sikkim,3520.0,23.333333333333332
3830,07/22/2011 12:00:00 AM,landslide,downpour,small,unknown,24.3527,94.3429,0.0,Manipur,285.0,2.117117117117117
4906,06/07/2013 12:00:00 AM,landslide,unknown,medium,unknown,26.0977,94.7499,,Nagaland,1538.0,22.52252252252252
3269,03/22/2011 12:00:00 AM,landslide,downpour,medium,unknown,28.0791,96.5242,0.0,Arunachal Pradesh,554.0,16.396396396396394
