event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,state,elevation_m,rainfall_mm,soil_moisture
2164,2010-07-29 23:00:00,landslide,downpour,medium,unknown,25.3098633,94.48214677,0.0,Manipur,1559.0,27.7,0.46375
5122,2013-07-17 00:00:00,mudslide,rain,medium,unknown,25.7658,93.9413,0.0,Nagaland,796.0,76.5,0.484333
5123,2013-07-17 00:00:00,mudslide,rain,medium,unknown,25.7131,94.0885,0.0,Nagaland,1402.0,76.5,0.496
7370,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,24.1419,94.1078,0.0,Manipur,1187.0,164.5,0.47275
5084,2013-07-12 23:00:00,landslide,downpour,medium,unknown,25.616,94.1167,0.0,Nagaland,1603.0,27.7,0.487333
2566,2010-10-08 00:00:00,mudslide,downpour,medium,unknown,25.4769,94.1351,0.0,Nagaland,1684.0,22.6,0.488458
1109,2009-08-20 00:00:00,landslide,downpour,medium,unknown,25.5215,93.1645,0.0,Assam,279.0,3.7,0.465208
1961,2010-06-09 14:15:00,landslide,downpour,medium,unknown,25.8833,91.2,0.0,Meghalaya,247.0,37.5,0.489125
2578,2010-10-09 00:00:00,landslide,downpour,medium,unknown,25.3179,94.0462,0.0,Nagaland,996.0,29.5,0.429
322,2007-10-21 00:00:00,landslide,rain,medium,unknown,24.75,93.4333,,Assam,546.0,11.1,0.405333
5552,2013-09-24 00:00:00,landslide,unknown,medium,unknown,25.0985,94.3619,,Manipur,1889.0,1.5,0.398875
7031,2015-05-24 00:00:00,landslide,unknown,medium,above_road,27.6163,88.6586,0.0,Sikkim,1875.0,21.1,0.424625
2025,2010-06-28 00:00:00,landslide,downpour,medium,unknown,25.5728,91.885,1.0,Meghalaya,1496.0,45.8,0.490542
9405,2016-04-19 00:00:00,landslide,continuous_rain,medium,unknown,26.7223,95.0243,0.0,Nagaland,692.0,23.1,0.484917
5343,2013-08-17 23:00:00,landslide,continuous_rain,medium,unknown,24.7625,93.4341,,Assam,681.0,12.5,0.420125
6971,2015-06-09 00:00:00,landslide,continuous_rain,medium,above_road,27.0987,93.816,2.0,Arunachal Pradesh,211.0,43.3,0.429417
1611,2010-04-01 00:00:00,landslide,downpour,medium,unknown,25.1553,93.028,3.0,Assam,565.0,20.4,0.480917
147,2007-07-30 00:00:00,landslide,downpour,medium,unknown,22.533,92.899,,Mizoram,793.0,1.3,0.396958
4382,2012-06-03 00:00:00,landslide,downpour,medium,unknown,25.1175,92.8573,,Assam,158.0,19.9,0.475833
1112,2009-08-20 00:00:00,mudslide,downpour,medium,unknown,27.1761,88.5287,0.0,Sikkim,314.0,24.5,0.426375
2424,2010-09-13 00:00:00,landslide,downpour,medium,unknown,23.591,92.9296,0.0,Mizoram,801.0,6.7,0.423542
78,2007-05-23 00:00:00,landslide,rain,medium,unknown,27.3383,88.6069,,Sikkim,1517.0,12.4,0.424583
5431,2013-09-01 00:00:00,mudslide,continuous_rain,medium,unknown,24.9829,93.5063,0.0,Assam,1284.0,1.0,0.397
3672,2011-06-29 00:00:00,landslide,downpour,medium,unknown,25.5125,93.3613,0.0,Assam,320.0,1.1,0.44925
2253,2010-08-15 23:00:00,landslide,downpour,medium,unknown,25.31006064,94.48265093,0.0,Manipur,1571.0,16.9,0.466
1108,2009-08-20 00:00:00,landslide,downpour,medium,unknown,24.9925,93.5,0.0,Assam,1206.0,7.1,0.4255
6105,2014-06-26 23:00:00,landslide,continuous_rain,medium,above_road,28.9205,95.3429,0.0,Arunachal Pradesh,4060.0,9.2,0.423958
9168,2016-06-12 23:00:00,landslide,downpour,medium,above_road,27.6438,93.871,0.0,Arunachal Pradesh,1682.0,11.6,0.422917
3560,2011-05-31 14:30:00,landslide,downpour,medium,unknown,24.8286,93.5935,2.0,Manipur,777.0,29.2,0.442042
587,2008-06-15 00:00:00,landslide,downpour,medium,unknown,27.2298,94.0989,17.0,Assam,95.0,38.4,0.395125
8012,2015-09-06 15:00:00,landslide,unknown,medium,above_road,25.9703,91.8584,0.0,Meghalaya,299.0,8.0,0.469958
7335,2015-08-18 09:00:00,landslide,continuous_rain,medium,urban,25.5145,90.2023,0.0,Meghalaya,279.0,41.4,0.472375
141,2007-07-26 00:00:00,landslide,rain,medium,unknown,25.38,91.88,,Meghalaya,1283.0,87.0,0.482458
3983,2011-09-23 00:00:00,landslide,downpour,large,unknown,26.1548,91.7351,4.0,Assam,55.0,27.4,0.491958
148,2007-07-30 00:00:00,landslide,downpour,medium,unknown,22.479,92.967,,Mizoram,472.0,1.3,0.393583
