event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,state
2164,07/29/2010 11:00:00 PM,landslide,downpour,medium,unknown,25.3098633,94.48214677,0.0,Manipur
5122,07/17/2013 12:00:00 AM,mudslide,rain,medium,unknown,25.7658,93.9413,0.0,Nagaland
5123,07/17/2013 12:00:00 AM,mudslide,rain,medium,unknown,25.7131,94.0885,0.0,Nagaland
7370,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,24.1419,94.1078,0.0,Manipur
5084,07/12/2013 11:00:00 PM,landslide,downpour,medium,unknown,25.616,94.1167,0.0,Nagaland
2566,10/08/2010 12:00:00 AM,mudslide,downpour,medium,unknown,25.4769,94.1351,0.0,Nagaland
1109,08/20/2009 12:00:00 AM,landslide,downpour,medium,unknown,25.5215,93.1645,0.0,Assam
1961,06/09/2010 02:15:00 PM,landslide,downpour,medium,unknown,25.8833,91.2,0.0,Meghalaya
2578,10/09/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.3179,94.0462,0.0,Nagaland
322,10/21/2007 12:00:00 AM,landslide,rain,medium,unknown,24.75,93.4333,,Assam
5552,09/24/2013 12:00:00 AM,landslide,unknown,medium,unknown,25.0985,94.3619,,Manipur
7031,05/24/2015 12:00:00 AM,landslide,unknown,medium,above_road,27.6163,88.6586,0.0,Sikkim
2025,06/28/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.5728,91.885,1.0,Meghalaya
9405,04/19/2016 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.7223,95.0243,0.0,Nagaland
5343,08/17/2013 11:00:00 PM,landslide,continuous_rain,medium,unknown,24.7625,93.4341,,Assam
6971,06/09/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,27.0987,93.816,2.0,Arunachal Pradesh
1611,04/01/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.1553,93.028,3.0,Assam
147,07/30/2007 12:00:00 AM,landslide,downpour,medium,unknown,22.533,92.899,,Mizoram
4382,06/03/2012 12:00:00 AM,landslide,downpour,medium,unknown,25.1175,92.8573,,Assam
1112,08/20/2009 12:00:00 AM,mudslide,downpour,medium,unknown,27.1761,88.5287,0.0,Sikkim
2424,09/13/2010 12:00:00 AM,landslide,downpour,medium,unknown,23.591,92.9296,0.0,Mizoram
78,05/23/2007 12:00:00 AM,landslide,rain,medium,unknown,27.3383,88.6069,,Sikkim
